Marca temporal,¿Con qué género te identificás?,¿Qué edad tenés?,¿De qué signo sos?,¿A qué te dedicás?,¿Cuánto creés que gana por mes un programador (con dos o menos años de experiencia) en la industria argentina?,¿Cuánto creés que gana por mes un programador (con tres o más años de experiencia) en la industria argentina?
15/05/2020 18:20:21,Mujer,26,Géminis,Contadora,50000,80000
15/05/2020 18:20:22,Hombre,27,Libra,estudiante de ingenieria,45000,60000
15/05/2020 18:20:22,Prefiero no decirlo,22,Virgo,estudiante,30000,40000
15/05/2020 18:20:24,Mujer,24,Sagitario,Ingeniería Biomédica,40000,60000
15/05/2020 18:20:15,Hombre,32,Escorpio,doctorando en filosofia y programador,65,130
15/05/2020 18:20:17,Mujer,32,Géminis,Científica de datos,100000,300000
15/05/2020 18:20:18,Mujer,30,Aries,investigacion,80000,100000
15/05/2020 18:20:37,Hombre,37,Escorpio,empleado,40000,60000
15/05/2020 18:20:50,Hombre,24,Virgo,Analista de sistema,35000,80000
15/05/2020 18:20:57,Hombre,46,Picis,Arquitecto de Soluciones,45000,80000
15/05/2020 18:20:59,Mujer,27,Sagitario,Ing. Civil,60000,80000
15/05/2020 18:21:04,Hombre,25,Escorpio,Programador,50000,150000
15/05/2020 18:21:27,Mujer,65,Sagitario,jubilada,35000,60000
15/05/2020 18:21:48,Prefiero no decirlo,33,Libra,psicologo,60000,100000
15/05/2020 18:21:51,Mujer,24,Sagitario,estudiante de ingeniería,26000,40000
15/05/2020 18:23:22,Hombre,35,Leo,desarrollador de software,60000,100000
15/05/2020 18:24:37,Mujer,45,Libra,Psicologa,70000,100000
15/05/2020 18:26:12,Hombre,41,Aries,Director,60000,120000
15/05/2020 18:29:20,Prefiero no decirlo,45,Libra,Lic. en Química,45000,80000
15/05/2020 18:30:35,Hombre,29,Virgo,Ingeniero agronomo,50000,60000
15/05/2020 18:37:23,Hombre,99,Capricornio,¿Y a vos qué te importa?,40000,120000
15/05/2020 18:38:03,Mujer,69,Géminis,CEO,60000,250000
15/05/2020 18:55:53,Hombre,28,Picis,Data Engineer,60000,140000
15/05/2020 19:11:15,Otro,45,Géminis,Diseño gráfico,68000,80000
15/05/2020 19:11:46,Prefiero no decirlo,9,Libra,lksadaokpoqwe,3,4
15/05/2020 20:58:25,Prefiero no decirlo,44,,profesor,40000,120000
16/05/2020 19:11:32,Hombre,32,Escorpio,Programador,50000,60000
17/05/2020 17:10:38,Mujer,45,Tauro,Licenciada en Informatica,40000,60000
18/05/2020 10:24:03,Mujer,38,Tauro,Docente ,40000,60000
18/05/2020 18:18:34,Mujer,40,Escorpio,analista de proyectos,45000,65000
18/05/2020 23:21:16,Hombre,35,Leo,Programador,50000,80000
19/05/2020 0:06:49,Hombre,38,Escorpio,programador,75000,90000
19/05/2020 10:57:26,Hombre,28,Acuario,Funcionario público y emprendedor,55000,75000
19/05/2020 11:33:32,Hombre,39,Sagitario,Programación,35000,55000
19/05/2020 17:38:26,Hombre,33,Géminis,Bioquímico,60000,100000
19/05/2020 20:53:55,Mujer,28,Sagitario,Investigadora-economista,150000,150000
20/05/2020 20:00:14,Hombre,24,Aries,Software Engineer,40000,10000
20/05/2020 21:05:19,Hombre,42,Géminis,Profesor,65000,87000
21/05/2020 17:50:29,Mujer,32,Leo,estudiante de Data Science,40000,80000
21/05/2020 19:25:29,Hombre,34,Capricornio,Ingeniero en sistemas,45000,60000
21/05/2020 20:16:52,Otro,33,Acuario,Programador,50000,80000
21/05/2020 21:27:47,Hombre,26,Capricornio,Estudiante,40000,70000
21/05/2020 21:51:08,Hombre,32,Leo,Estudiante de doctorado,50000,75000
21/05/2020 23:46:16,Hombre,26,Géminis,Ingeniero Agronomo ,30000,70000
22/05/2020 2:54:01,Mujer,38,Acuario,Profesor,40000,60000
22/05/2020 14:58:04,Hombre,25,Géminis,Administrativo,50000,70000
22/05/2020 15:47:53,Mujer,37,Leo,Sistemas,55000,75000
22/05/2020 16:39:04,Hombre,25,Acuario,estudiante de economía,70000,100000
22/05/2020 17:20:52,Hombre,32,Aries,Empleado de Anses,50000,80000
22/05/2020 17:34:25,Hombre,31,Picis,analista,50000,80000
22/05/2020 18:19:12,Hombre,44,Sagitario,Ingeniero,55000,75000
22/05/2020 18:21:35,Mujer,36,Aries,Física,70000,80000
22/05/2020 18:21:38,Hombre,41,Leo,Programador,50000,900000
22/05/2020 18:21:41,Hombre,23,Capricornio,Programador,35000,40000
22/05/2020 18:21:46,Hombre,33,Tauro,Licenciado en Economía,70000,100000
22/05/2020 18:21:46,Hombre,33,Picis,docente,65000,95000
22/05/2020 18:21:47,Hombre,38,Escorpio,Programador,50000,80000
22/05/2020 18:21:50,Hombre,25,Géminis,Contador,50000,90000
22/05/2020 18:21:54,Hombre,28,Virgo,Biólogo,50000,60000
22/05/2020 18:22:06,Mujer,30,Picis,Doctora en Ciencias Biológicas,40000,80000
22/05/2020 18:22:07,Hombre,31,Géminis,Analista De Sistemas,60000,80000
22/05/2020 18:22:13,Mujer,55,Géminis,profesora,40000,80000
22/05/2020 18:22:17,Mujer,52,Leo,Ingeniera,40000,60000
22/05/2020 18:22:20,Hombre,27,Picis,Estudiante,40000,80000
22/05/2020 18:22:23,Hombre,25,Picis,Economista,50000,80000
22/05/2020 18:22:25,Mujer,27,Aries,Analista en computacion,50000,90000
22/05/2020 18:22:32,Mujer,24,Capricornio,Estudiante de Ciencias de la Computación,40000,55000
22/05/2020 18:22:34,Prefiero no decirlo,60,Cáncer,Jubilada,25000,50000
22/05/2020 18:22:40,Hombre,49,Tauro,Bioingeniero,50000,100000
22/05/2020 18:22:47,Hombre,22,Virgo,Estudiante ingeniería electrónica,50000,100000
22/05/2020 18:22:53,Mujer,35,Géminis,estudiante de postgrado,80000,120000
22/05/2020 18:22:56,Hombre,25,Capricornio,Desarrollador de Software,60000,90000
22/05/2020 18:23:06,Hombre,39,Sagitario,sistemas,60000,90000
22/05/2020 18:23:08,Hombre,27,Cáncer,abogado,35000,70000
22/05/2020 18:23:11,Prefiero no decirlo,40,Leo,Lic,40000,80000
22/05/2020 18:23:31,Hombre,41,Géminis,Sistemas,50000,110000
22/05/2020 18:23:33,Mujer,33,Aries,psicologa,70.000,90.000
22/05/2020 18:23:34,Hombre,31,Géminis,Ing. en Sistemas,45000,60000
22/05/2020 18:23:45,Prefiero no decirlo,25,Picis,Ingenieria,70000,100000
22/05/2020 18:23:50,Otro,17,Picis,estudiante,35000,150000
22/05/2020 18:23:58,Hombre,25,Capricornio,Programador,40000,75000
22/05/2020 18:24:10,Hombre,26,Acuario,Desarrollador,50000,70000
22/05/2020 18:24:44,Mujer,32,Cáncer,Profesora,45000,50000
22/05/2020 18:25:01,Hombre,49,Aries,Ingeniero de Software,40000,55000
22/05/2020 18:25:27,Mujer,62,Aries,Arquitecta,60000,80000
22/05/2020 18:25:58,Hombre,33,Libra,"Estudiante, programador",60000,80000
22/05/2020 18:26:04,Hombre,35,Picis,Desarrolador,50000,150000
22/05/2020 18:28:19,Mujer,36,Géminis,Docente,50000,100000
23/05/2020 12:50:44,Mujer,32,Acuario,investigador,40000,60000
23/05/2020 18:36:57,Mujer,47,Sagitario,analista,40000,60000
25/05/2020 17:36:46,Hombre,31,Géminis,Programador,70000,150000
27/05/2020 21:22:10,Hombre,29,Tauro,astronauta gimnasta,70000,90000
27/05/2020 21:22:45,Otro,33,Virgo,maratonista en calle de tierra,50000,85000
27/05/2020 21:23:38,Mujer,27,Aries,catadora de vinos,35000,40000
27/05/2020 21:25:27,Hombre,36,Libra,sociólogo nocturno,130000,145000
27/05/2020 21:26:48,Hombre,21,Escorpio,sommelier ,65000,75000
27/05/2020 21:27:26,Mujer,25,Libra,boxeadora profesional,45000,50000
27/05/2020 21:28:19,Mujer,29,Sagitario,paseadora de patos,125000,140000
27/05/2020 21:28:52,Mujer,26,Cáncer,Testeadora de toboganes,60000,80000
27/05/2020 21:30:12,Hombre,23,Capricornio,fotografo,50000,75000
